+2 2 +2 4 +2 2 __ _ +1.9200 5
+2 3 +2 4 +2 5 __ _
+2 5 +2 3 +2 3 __ _
+2 3 +2 4 +2 4 __ _
+2 4 +2 4 +2 5 __ _
+2 3 +2 3 +2 3 __ _
+1 2 +1 4 +1 2 __ _
+2 4 +1 3 +2 3 __ _ +0.7857 5
-1 2 -1 3 -1 3 -1 4
+1 3 +2 4 +1 3 __ _ +1.1852 5
+2 3 +1 3 +2 4 __ _ +1.7241 5
+1 3 +1 3 +1 3 __ _ 
+1 4 +1 2 +2 4 __ _ +0.1290 5
+2 4 +1 5 +2 4 +2 4 +1.6061 5
+2 3 +1 4 +1 4 __ _ +0.9688 5
+1 2 +2 3 +2 4 __ _ +0.7500 5
+1 2 +2 4 +1 3 __ _ +0.5588 5
+2 3 +1 3 +2 3 __ _ +0.7857 5
+1 4 +1 2 +2 4 __ _ 
+2 4 +2 3 +1 3 __ _ +1.3125 5
-1 3 +1 2 +1 2 +1 4
-1 4 -1 4 +1 3 __ _ 
+1 3 -1 3 -1 3 -1 3
-1 4 +1 4 -1 4 __ _
-1 3 -1 3 +1 3 __ _
-2 4 -1 3 -1 3 __ _
-1 4 -2 4 -1 5 __ _
-1 3 -2 3 +1 4 __ _
-1 3 -1 3 +1 3 __ _
-1 4 -1 4 -1 3 __ _
-1 3 -2 4 -1 4 __ _
-1 3 -1 5 -1 4 __ _
-1 4 -1 3 +0 3 -2 4
-1 3 -2 4 -1 3 __ _
-1 4 -1 3 +0 4 __ _
-1 3 -1 3 -2 5 __ _
-2 4 -1 3 -1 3 -1 3
-2 3 -1 4 -2 3 __ _
-1 4 -1 2 -1 4 __ _
-2 4 -1 3 -1 3 __ _
-1 4 -1 3 -2 3 __ _
-1 4 -2 4 -1 3 __ _
-2 5 -1 3 -2 4 __ _
-2 4 -1 3 -2 4 __ _
-2 5 -1 1 -2 3 __ _
-2 3 -2 4 -1 2 __ _
-2 5 -1 3 -2 3 __ _
-2 5 -1 2 -2 3 __ _
-2 4 -2 5 -2 4 __ _
-2 4 -2 4 -2 4 -2 3
-2 4 -2 4 -2 4 __ _
